"","site","dist","p","pmin","pmax"
"61","Michigan",22,14.6624747264742,-53.3610258574585,82.6859753104068
"62","Michigan",22.6340389535672,13.8090927190374,-51.6898605259238,79.3080459639986
"63","Michigan",23.286350879618,13.0052476810063,-50.0375325931885,76.0480279552011
"64","Michigan",23.9574624043503,12.2480789524779,-48.4069340377925,72.9030919427483
"65","Michigan",24.6479153313038,11.5348893910218,-46.8006211063084,69.8703998883519
"66","Michigan",25.3582670787707,10.8631362152199,-45.2208364263181,66.947108856758
"67","Michigan",26.0890911298116,10.2304223392628,-43.6695304591069,64.1303751376325
"68","Michigan",26.8409774952418,9.63448817476787,-42.1483822137886,61.4173585633244
"69","Michigan",27.6145331899601,9.07320387684651,-40.6588191633896,58.8052269170826
"70","Michigan",28.4103827230059,8.54456201231164,-39.2020363197968,56.2911603444201
"71","Michigan",29.2291686017394,8.04667062878359,-37.7790144386313,53.8723556961985
"72","Michigan",30.0715518505523,7.57774670431697,-36.3905373372455,51.5460307458794
"73","Michigan",30.938212544528,7.13610995802367,-35.0372083193598,49.3094282354071
"74","Michigan",31.8298503584812,6.72017700300934,-33.7194657085545,47.1598197145732
"75","Michigan",32.7471851318217,6.32845582376445,-32.4375975000846,45.0945091476134
"76","Michigan",33.6909574496967,5.95954056095796,-31.1917551464613,43.1108362683773
"77","Michigan",34.6619292408822,5.61210658736609,-29.981966497108,41.2061796718402
"78","Michigan",35.6608843929052,5.28490585943136,-28.8081479162644,39.3779596351271
"79","Michigan",36.6886293848942,4.97676252968606,-27.6701156063485,37.6236406657206
"80","Michigan",37.7459939386674,4.68656880598796,-26.5675961662637,35.9407337782397
"81","Michigan",38.8338316885867,4.41328104420525,-25.500236415795,34.3267985042055
"82","Michigan",39.9530208707155,4.15591606165063,-24.4676125183466,32.7794446416479
"83","Michigan",41.1044650318389,3.91354765920229,-23.4692384349198,31.2963337533244
"84","Michigan",42.2890937589173,3.68530334066115,-22.5045737424926,29.8751804238149
"85","Michigan",43.5078634295631,3.47036121848016,-21.5730308498915,28.5137532868518
"86","Michigan",44.7617579841459,3.26794709556317,-20.6739816439136,27.2098758350399
"87","Michigan",46.0517897201502,3.0773317133671,-19.8067635978962,25.9614270246304
"88","Michigan",47.3790001094256,2.89782815705421,-18.9706853741977,24.7663416883061
"89","Michigan",48.744460638991,2.72878940893019,-18.1650319511714,23.6226107690318
"90","Michigan",50.1492736760701,2.56960604187003,-17.3890693042276,22.5282813879677
"91","Michigan",51.5945733580577,2.41970404487802,-16.6420486695052,21.4814567592613
"92","Michigan",53.0815265081344,2.27854277335076,-15.9232104175412,20.4802959642427
"93","Michigan",54.6113335772691,2.14561301701417,-15.2317875631539,19.5230135971822
"94","Michigan",56.1852296133709,2.02043517888763,-14.5670089365617,18.607879294337
"95","Michigan",57.8044852583705,1.90255755899158,-13.9281020395482,17.7332171575313
"96","Michigan",59.4704077740389,1.79155473685912,-13.3142956092868,16.897405083005
"97","Michigan",61.184342097369,1.68702604723962,-12.724821911244,16.0988740057233
"98","Michigan",62.947671926374,1.58859414369218,-12.1589187814091,15.3361070687934
"99","Michigan",64.761820837178,1.49590364506074,-11.6158314369534,14.6076387270748
"100","Michigan",66.628253433301,1.40861986010156,-11.0948140733108,13.9120537935139
"101","Michigan",68.5484765280673,1.32642758579707,-10.5951312645894,13.2479864361836
"102","Michigan",70.524040361089,1.24902997514063,-10.1160591831879,12.6141191334691
"103","Michigan",72.5565398498105,1.17614747041249,-9.6568866534899,12.0091815943149
"104","Michigan",74.6476158771208,1.10751679819154,-9.21691605355199,11.4319496499351
"105","Michigan",76.7989566160759,1.04289002255887,-8.79546407778642,10.8812441229042
"106","Michigan",79.0122988927989,0.982033653149191,-8.39186237276941,10.3559296790678
"107","Michigan",81.2894295886591,0.924727804895699,-8.00545805747609,9.85491366726749
"108","Michigan",83.632187082862,0.870765406492452,-7.63561413845808,9.37714495144298
"109","Michigan",86.0424627366143,0.819951454767673,-7.28170982973528,8.92161273927063
"110","Michigan",88.5222024200626,0.77210231232081,-6.94314078647092,8.48734541111254
"111","Michigan",91.0734080832388,0.727045045927127,-6.61931926083519,8.07340935268944
"112","Michigan",93.6981393722792,0.684616803356018,-6.30967418783841,7.67890779455045
"113","Michigan",96.3985152922242,0.644664226383678,-6.01365120832758,7.30297966109494
"114","Michigan",99.1767159177382,0.607042897907787,-5.73071263578776,6.94479843160333
"115","Michigan",102.034984153134,0.571616821191669,-5.46033737307357,6.60357101545691
"116","Michigan",104.97562754312,0.538257929378514,-5.20202078471103,6.27853664346805
"117","Michigan",108.001020135734,0.50684562352297,-4.95527452995685,5.96896577700279
"118","Michigan",111.113604398963,0.477266337488144,-4.71962636137947,5.67415903635576
"119","Michigan",114.315893192608,0.449413128151035,-4.49461989333081,5.39344614963288
"120","Michigan",117.610471796969,0.423185289449053,-4.27981434430949,5.1261849232076
"121","Michigan",121,0.398487988884823,-4.07478425687414,4.87176023464379
