Cover,Distance,p,pmin,pmax
Covered,162.7319195,3.564807043,2.589992467,4.539621618
Covered,164.5296184,3.501285641,2.5327731,4.469798182
Covered,166.3471764,3.438826215,2.476669871,4.40098256
Covered,168.1848131,3.377413488,2.421665672,4.333161304
Covered,170.0427501,3.317032311,2.367743476,4.266321147
Covered,171.9212117,3.257667673,2.314886348,4.200448999
Covered,173.8204247,3.199304696,2.263077446,4.135531946
Covered,175.7406182,3.141928641,2.212300037,4.071557244
Covered,177.6820242,3.085524907,2.162537499,4.008512316
Covered,179.6448768,3.030079038,2.113773328,3.946384748
Covered,181.6294131,2.975576716,2.065991144,3.885162287
Covered,183.6358726,2.922003769,2.0191747,3.824832839
Covered,185.6644974,2.869346172,1.973307882,3.765384462
Covered,187.7155324,2.817590044,1.92837472,3.706805368
Covered,189.7892252,2.766721652,1.884359388,3.649083916
Covered,191.885826,2.71672741,1.841246208,3.592208612
Covered,194.005588,2.667593883,1.799019659,3.536168108
Covered,196.148767,2.619307785,1.757664376,3.480951194
Covered,198.3156217,2.571855977,1.717165154,3.4265468
Covered,200.5064136,2.525225474,1.677506954,3.372943995
Covered,202.7214072,2.47940344,1.638674901,3.32013198
Covered,204.9608699,2.43437719,1.60065429,3.26810009
Covered,207.2250718,2.390134189,1.563430588,3.21683779
Covered,209.5142864,2.346662054,1.526989435,3.166334673
Covered,211.8287899,2.303948553,1.491316645,3.11658046
Covered,214.1688618,2.261981604,1.45639821,3.067564997
Covered,216.5347844,2.220749275,1.422220297,3.019278252
Covered,218.9268434,2.180239786,1.388769256,2.971710316
Covered,221.3453274,2.140441505,1.356031612,2.924851398
Covered,223.7905284,2.101342951,1.323994075,2.878691827
Covered,226.2627415,2.06293279,1.292643532,2.833222049
Covered,228.7622652,2.025199839,1.261967054,2.788432623
Covered,231.289401,1.988133059,1.231951893,2.744314225
Covered,233.8444542,1.951721561,1.20258548,2.700857641
Covered,236.427733,1.915954601,1.173855432,2.65805377
Covered,239.0395493,1.880821582,1.145749544,2.61589362
Covered,241.6802183,1.84631205,1.118255792,2.574368308
Covered,244.3500587,1.812415695,1.091362333,2.533469057
Covered,247.0493929,1.779122351,1.065057503,2.493187198
Covered,249.7785466,1.746421992,1.03932982,2.453514165
Covered,252.5378493,1.714304737,1.014167975,2.414441498
Covered,255.327634,1.68276084,0.989560841,2.375960839
Covered,258.1482374,1.651780697,0.965497465,2.338063929
Covered,261,1.621354841,0.941967069,2.300742613
Non-covered,15,49.14498982,45.92110231,52.36887733
Non-covered,15.16570494,49.11689668,45.90606964,52.32772371
Non-covered,15.33324043,49.08801446,45.89047723,52.2855517
Non-covered,15.50262668,49.058322,45.87430482,52.24233917
Non-covered,15.67388414,49.0277976,45.85753149,52.19806371
Non-covered,15.84703348,48.99641907,45.84013556,52.15270257
Non-covered,16.0220956,48.96416365,45.82209461,52.1062327
Non-covered,16.19909163,48.93100809,45.80338542,52.05863077
Non-covered,16.37804293,48.89692857,45.78398399,52.00987314
Non-covered,16.55897111,48.8619007,45.76386549,51.9599359
Non-covered,16.741898,48.82589955,45.74300423,51.90879487
Non-covered,16.92684569,48.78889962,45.72137363,51.8564256
Non-covered,17.11383649,48.7508748,45.69894622,51.80280339
Non-covered,17.30289297,48.71179844,45.67569357,51.7479033
Non-covered,17.49403797,48.67164324,45.65158632,51.69170017
Non-covered,17.68729454,48.63038135,45.62659408,51.63416862
Non-covered,17.88268602,48.58798426,45.60068547,51.57528306
Non-covered,18.08023598,48.54442288,45.57382802,51.51501775
Non-covered,18.27996828,48.49966748,45.54598822,51.45334675
Non-covered,18.48190702,48.4536877,45.51713141,51.39024399
Non-covered,18.68607658,48.40645254,45.48722181,51.32568328
Non-covered,18.8925016,48.35793038,45.45622246,51.2596383
Non-covered,19.10120699,48.30808892,45.42409519,51.19208265
Non-covered,19.31221795,48.25689524,45.39080059,51.12298989
Non-covered,19.52555995,48.20431575,45.356298,51.0523335
Non-covered,19.74125874,48.1503162,45.32054543,50.98008697
Non-covered,19.95934035,48.0948617,45.28349961,50.90622379
Non-covered,20.17983111,48.03791668,45.24511586,50.83071749
Non-covered,20.40275763,47.9794449,45.20534815,50.75354165
Non-covered,20.62814681,47.91940949,45.16414902,50.67466996
Non-covered,20.85602587,47.85777288,45.12146957,50.59407619
Non-covered,21.08642231,47.79449686,45.07725942,50.5117343
Non-covered,21.31936394,47.72954257,45.03146674,50.4276184
Non-covered,21.55487887,47.66287047,44.98403814,50.3417028
Non-covered,21.79299554,47.59444039,44.93491873,50.25396205
Non-covered,22.03374268,47.52421152,44.88405207,50.16437097
Non-covered,22.27714935,47.45214239,44.83138014,50.07290464
Non-covered,22.52324494,47.37819093,44.77684338,49.97953847
Non-covered,22.77205914,47.30231443,44.72038065,49.8842482
Non-covered,23.02362199,47.22446958,44.66192922,49.78700994
Non-covered,23.27796386,47.14461249,44.60142482,49.68780016
Non-covered,23.53511544,47.06269867,44.53880161,49.58659573
Non-covered,23.79510777,46.97868308,44.47399222,49.48337393
Non-covered,24.05797224,46.89252012,44.40692778,49.37811246
Non-covered,24.32374056,46.80416368,44.33753793,49.27078942
Non-covered,24.59244484,46.71356714,44.26575091,49.16138336
Non-covered,24.86411748,46.62068339,44.19149356,49.04987322
Non-covered,25.13879129,46.52546488,44.11469144,48.93623833
Non-covered,25.41649943,46.42786363,44.03526886,48.8204584
Non-covered,25.6972754,46.32783126,43.95314902,48.70251349
