state,location,wind,distance,rep,height
Michigan,Transect B,downwind,7.9,4,36
Michigan,Transect B,downwind,7.9,5,40
Michigan,Transect B,downwind,7.9,6,33
Michigan,Transect B,downwind,7.9,7,34
Michigan,Transect B,downwind,7.9,8,39
Michigan,Transect B,downwind,7.9,9,43
Michigan,Transect B,downwind,7.9,10,40
Michigan,Transect B,downwind,15.8,1,40
Michigan,Transect B,downwind,15.8,2,35
Michigan,Transect B,downwind,15.8,3,35
Michigan,Transect B,downwind,15.8,4,42
Michigan,Transect B,downwind,15.8,5,40
Michigan,Transect B,downwind,15.8,6,40
Michigan,Transect B,downwind,15.8,7,41
Michigan,Transect B,downwind,15.8,8,40
Michigan,Transect B,downwind,15.8,9,41
Michigan,Transect B,downwind,15.8,10,43
Michigan,Transect B,downwind,30.5,1,50
Michigan,Transect B,downwind,30.5,2,50
Michigan,Transect B,downwind,30.5,3,48
Michigan,Transect B,downwind,30.5,4,48
Michigan,Transect B,downwind,30.5,5,49
Michigan,Transect B,downwind,30.5,6,48
Michigan,Transect B,downwind,30.5,7,50
Michigan,Transect B,downwind,30.5,8,46
Michigan,Transect B,downwind,30.5,9,45
Michigan,Transect B,downwind,30.5,10,49
Michigan,Transect B,downwind,44.8,1,55
Michigan,Transect B,downwind,44.8,2,50
Michigan,Transect B,downwind,44.8,3,51
Michigan,Transect B,downwind,44.8,4,49
Michigan,Transect B,downwind,44.8,5,51
Michigan,Transect B,downwind,44.8,6,53
Michigan,Transect B,downwind,44.8,7,49
Michigan,Transect B,downwind,44.8,8,52
Michigan,Transect B,downwind,44.8,9,52
Michigan,Transect B,downwind,44.8,10,49
Michigan,Transect B,downwind,59.7,1,52
Michigan,Transect B,downwind,59.7,2,54
Michigan,Transect B,downwind,59.7,3,52
Michigan,Transect B,downwind,59.7,4,52
Michigan,Transect B,downwind,59.7,5,53
Michigan,Transect B,downwind,59.7,6,57
Michigan,Transect B,downwind,59.7,7,59
Michigan,Transect B,downwind,59.7,8,56
Michigan,Transect B,downwind,59.7,9,51
Michigan,Transect B,downwind,59.7,10,54
Michigan,Transect B,downwind,75,1,42
Michigan,Transect B,downwind,75,2,45
Michigan,Transect B,downwind,75,3,40
Michigan,Transect B,downwind,75,4,42
Michigan,Transect B,downwind,75,5,44
