Row,Distance,Location,Cover,Rep,Injury,Height,DAT
19,9,N-3,Yes,2,2,54,14
19,9,N-3,Yes,3,0,59,14
20,9.5,N-3,Yes,1,1,51,14
20,9.5,N-3,Yes,2,2,54,14
20,9.5,N-3,Yes,3,2,53,14
21,10,N-3,Yes,1,2,54,14
21,10,N-3,Yes,2,2,55,14
21,10,N-3,Yes,3,2,56,14
1,0,N-3,No,1,,,14
1,0,N-3,No,2,,,14
1,0,N-3,No,3,,,14
2,0.5,N-3,No,1,40,57,14
2,0.5,N-3,No,2,45,56,14
2,0.5,N-3,No,3,45,56,14
3,1,N-3,No,1,40,54,14
3,1,N-3,No,2,40,56,14
3,1,N-3,No,3,35,57,14
4,1.5,N-3,No,1,30,58,14
4,1.5,N-3,No,2,30,57,14
4,1.5,N-3,No,3,35,55,14
5,2,N-3,No,1,30,58,14
5,2,N-3,No,2,35,59,14
5,2,N-3,No,3,30,57,14
6,2.5,N-3,No,1,25,59,14
6,2.5,N-3,No,2,25,59,14
6,2.5,N-3,No,3,25,60,14
7,3,N-3,No,1,20,58,14
7,3,N-3,No,2,20,56,14
7,3,N-3,No,3,20,57,14
8,3.5,N-3,No,1,25,60,14
8,3.5,N-3,No,2,20,57,14
8,3.5,N-3,No,3,2,58,14
9,4,N-3,No,1,20,52,14
9,4,N-3,No,2,15,56,14
9,4,N-3,No,3,15,59,14
10,4.5,N-3,No,1,15,57,14
10,4.5,N-3,No,2,20,56,14
10,4.5,N-3,No,3,15,56,14
11,5,N-3,No,1,10,54,14
11,5,N-3,No,2,15,55,14
11,5,N-3,No,3,10,56,14
12,5.5,N-3,No,1,15,57,14
12,5.5,N-3,No,2,10,56,14
12,5.5,N-3,No,3,10,60,14
13,6,N-3,No,1,10,58,14
13,6,N-3,No,2,5,59,14
13,6,N-3,No,3,5,57,14
14,6.5,N-3,No,1,10,60,14
14,6.5,N-3,No,2,10,61,14
14,6.5,N-3,No,3,10,60,14
15,7,N-3,No,1,5,59,14
15,7,N-3,No,2,10,60,14
15,7,N-3,No,3,10,58,14
16,7.5,N-3,No,1,8,61,14
16,7.5,N-3,No,2,5,59,14
16,7.5,N-3,No,3,5,55,14
17,8,N-3,No,1,2,59,14
17,8,N-3,No,2,2,60,14
17,8,N-3,No,3,5,62,14
18,8.5,N-3,No,1,5,56,14
18,8.5,N-3,No,2,5,59,14
18,8.5,N-3,No,3,5,57,14
19,9,N-3,No,1,2,56,14
